V(VBN),V(XOTA:TAIL),V(XOTA:D),V(VSS),V(VDD),V(OUT),V(IN)
8.20972917e-01,6.50485078e-09,3.11259516e+00,0.00000000e+00,3.30000000e+00,1.58728536e-01,0.00000000e+00
8.20972917e-01,6.59008184e-09,3.11148710e+00,0.00000000e+00,3.30000000e+00,1.58977804e-01,1.00000000e-02
8.20972917e-01,6.70293311e-09,3.11007014e+00,0.00000000e+00,3.30000000e+00,1.59305867e-01,2.00000000e-02
8.20972917e-01,6.85239876e-09,3.10827484e+00,0.00000000e+00,3.30000000e+00,1.59736816e-01,3.00000000e-02
8.20972917e-01,7.05042359e-09,3.10602548e+00,0.00000000e+00,3.30000000e+00,1.60301461e-01,4.00000000e-02
8.20972917e-01,7.31287237e-09,3.10324429e+00,0.00000000e+00,3.30000000e+00,1.61038667e-01,5.00000000e-02
8.20972917e-01,7.66080823e-09,3.09985787e+00,0.00000000e+00,3.30000000e+00,1.61996528e-01,6.00000000e-02
8.20972917e-01,8.12217480e-09,3.09580491e+00,0.00000000e+00,3.30000000e+00,1.63233036e-01,7.00000000e-02
8.20972917e-01,8.73399765e-09,3.09104411e+00,0.00000000e+00,3.30000000e+00,1.64815710e-01,8.00000000e-02
8.20972917e-01,9.54526410e-09,3.08556032e+00,0.00000000e+00,3.30000000e+00,1.66819601e-01,9.00000000e-02
8.20972917e-01,1.06206892e-08,3.07936710e+00,0.00000000e+00,3.30000000e+00,1.69323148e-01,1.00000000e-01
8.20972917e-01,1.20456459e-08,3.07250490e+00,0.00000000e+00,3.30000000e+00,1.72401791e-01,1.10000000e-01
8.20972917e-01,1.39326363e-08,3.06503536e+00,0.00000000e+00,3.30000000e+00,1.76119917e-01,1.20000000e-01
8.20972917e-01,1.64297925e-08,3.05703332e+00,0.00000000e+00,3.30000000e+00,1.80522576e-01,1.30000000e-01
8.20972917e-01,1.97320586e-08,3.04857861e+00,0.00000000e+00,3.30000000e+00,1.85628987e-01,1.40000000e-01
8.20972917e-01,2.40959017e-08,3.03974921e+00,0.00000000e+00,3.30000000e+00,1.91429663e-01,1.50000000e-01
8.20972917e-01,2.98586691e-08,3.03061648e+00,0.00000000e+00,3.30000000e+00,1.97888052e-01,1.60000000e-01
8.20972917e-01,3.74640572e-08,3.02124262e+00,0.00000000e+00,3.30000000e+00,2.04946134e-01,1.70000000e-01
8.20972917e-01,4.74956214e-08,3.01167982e+00,0.00000000e+00,3.30000000e+00,2.12532306e-01,1.80000000e-01
8.20972917e-01,6.07208441e-08,3.00197066e+00,0.00000000e+00,3.30000000e+00,2.20569520e-01,1.90000000e-01
8.20972917e-01,7.81490705e-08,2.99214909e+00,0.00000000e+00,3.30000000e+00,2.28982094e-01,2.00000000e-01
8.20972917e-01,1.01107636e-07,2.98224174e+00,0.00000000e+00,3.30000000e+00,2.37700423e-01,2.10000000e-01
8.20972917e-01,1.31341861e-07,2.97226918e+00,0.00000000e+00,3.30000000e+00,2.46663563e-01,2.20000000e-01
8.20972917e-01,1.71146325e-07,2.96224717e+00,0.00000000e+00,3.30000000e+00,2.55820105e-01,2.30000000e-01
8.20972917e-01,2.23537156e-07,2.95218764e+00,0.00000000e+00,3.30000000e+00,2.65127897e-01,2.40000000e-01
8.20972917e-01,2.92478003e-07,2.94209958e+00,0.00000000e+00,3.30000000e+00,2.74553111e-01,2.50000000e-01
8.20972917e-01,3.83176296e-07,2.93198966e+00,0.00000000e+00,3.30000000e+00,2.84069040e-01,2.60000000e-01
8.20972917e-01,5.02471397e-07,2.92186281e+00,0.00000000e+00,3.30000000e+00,2.93654866e-01,2.70000000e-01
8.20972917e-01,6.59342784e-07,2.91172263e+00,0.00000000e+00,3.30000000e+00,3.03294509e-01,2.80000000e-01
8.20972917e-01,8.65574855e-07,2.90157167e+00,0.00000000e+00,3.30000000e+00,3.12975650e-01,2.90000000e-01
8.20972917e-01,1.13662579e-06,2.89141170e+00,0.00000000e+00,3.30000000e+00,3.22688903e-01,3.00000000e-01
8.20972917e-01,1.49276183e-06,2.88124388e+00,0.00000000e+00,3.30000000e+00,3.32427161e-01,3.10000000e-01
8.20972917e-01,1.96053630e-06,2.87106891e+00,0.00000000e+00,3.30000000e+00,3.42185067e-01,3.20000000e-01
8.20972917e-01,2.57471513e-06,2.86088711e+00,0.00000000e+00,3.30000000e+00,3.51958612e-01,3.30000000e-01
8.20972917e-01,3.38077954e-06,2.85069851e+00,0.00000000e+00,3.30000000e+00,3.61744815e-01,3.40000000e-01
8.20972917e-01,4.43817252e-06,2.84050291e+00,0.00000000e+00,3.30000000e+00,3.71541481e-01,3.50000000e-01
8.20972917e-01,5.82450029e-06,2.83029991e+00,0.00000000e+00,3.30000000e+00,3.81347020e-01,3.60000000e-01
8.20972917e-01,7.64095544e-06,2.82008899e+00,0.00000000e+00,3.30000000e+00,3.91160302e-01,3.70000000e-01
8.20972917e-01,1.00192950e-05,2.80986950e+00,0.00000000e+00,3.30000000e+00,4.00980548e-01,3.80000000e-01
8.20972917e-01,1.31307875e-05,2.79964073e+00,0.00000000e+00,3.30000000e+00,4.10807250e-01,3.90000000e-01
8.20972917e-01,1.71976350e-05,2.78940193e+00,0.00000000e+00,3.30000000e+00,4.20640103e-01,4.00000000e-01
8.20972917e-01,2.25074857e-05,2.77915238e+00,0.00000000e+00,3.30000000e+00,4.30478948e-01,4.10000000e-01
8.20972917e-01,2.94317651e-05,2.76889146e+00,0.00000000e+00,3.30000000e+00,4.40323729e-01,4.20000000e-01
8.20972917e-01,3.84486791e-05,2.75861868e+00,0.00000000e+00,3.30000000e+00,4.50174452e-01,4.30000000e-01
8.20972917e-01,5.01718523e-05,2.74833388e+00,0.00000000e+00,3.30000000e+00,4.60031140e-01,4.40000000e-01
8.20972917e-01,6.53856585e-05,2.73803726e+00,0.00000000e+00,3.30000000e+00,4.69893790e-01,4.50000000e-01
8.20972917e-01,8.50883433e-05,2.72772962e+00,0.00000000e+00,3.30000000e+00,4.79762328e-01,4.60000000e-01
8.20972917e-01,1.10543996e-04,2.71741253e+00,0.00000000e+00,3.30000000e+00,4.89636558e-01,4.70000000e-01
8.20972917e-01,1.43344267e-04,2.70708858e+00,0.00000000e+00,3.30000000e+00,4.99516099e-01,4.80000000e-01
8.20972917e-01,1.85480387e-04,2.69676161e+00,0.00000000e+00,3.30000000e+00,5.09400329e-01,4.90000000e-01
8.20972917e-01,2.39425451e-04,2.68643705e+00,0.00000000e+00,3.30000000e+00,5.19288322e-01,5.00000000e-01
8.20972917e-01,3.08226115e-04,2.67612210e+00,0.00000000e+00,3.30000000e+00,5.29178798e-01,5.10000000e-01
